"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\deference_bandit_exp0\experiment_0_bandit_base.nlogox"
"experiment-0-bandit-main-final"
"08/01/2026 08:59:56:478 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","[step]","actual-seed","hidden-world","ticks","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-posterior-truth-mass","cumulative-lay-correct-choice-rate","mean-lay-cumulative-regret","mean-lay-realized-payoff","mean-lay-b-pulls","mean-lay-informative-observations","final-window-wrong-choice-rate","finite-horizon-error-persistence-rate","run-finite-horizon-persistent-error?","expert-posterior-truth-mass","expert-recommendation-accuracy","expert-thompson-correct-rate","expert-cumulative-regret","expert-b-pull-rate","lay-a-reward-rate","lay-b-reward-rate","expert-a-reward-rate","expert-b-reward-rate","mean-peer-messages-received","mean-unique-evidence-count","duplicate-message-count","maximum-belief-identity-error","maximum-regret-identity-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?"
"31","310031","B-good","true","500","310031","B-good","500","125","5000","0.55","1","37","0.5495271345559108","0.5","36.6","75","0.9999997752160207","0.849","3.774999999999995","0.536","424.5","1271.5","0","0","false","0.55","1","0.296","4.399999999999993","0.296","0.495364238410596","0.5432273262661955","0.5113636363636364","0.5135135135135135","998","1498","0","6.394884621840902E-14","2.398081733190338E-14","true","true","true"
"32","310032","B-good","true","500","310032","B-good","500","125","5000","0.9934177025814358","1","111","0.5822730366974674","0.6","35.4","75","0.9999978862227421","0.8446","3.8850000000000007","0.5406","422.3","1264.9","0","0","false","0.9934177025814358","1","0.888","0.7000000000000006","0.888","0.4877734877734878","0.5503196779540611","0.5","0.6126126126126126","998","1498","0","9.237055564881302E-14","1.9539925233402755E-14","true","true","true"
"33","310033","B-good","true","500","310033","B-good","500","125","5000","0.9530265597482369","1","101","0.8782274260942549","1","52.2","75","0.9999999999999283","0.983","0.4250000000000004","0.5572","491.5","1472.5","0","0","false","0.9530265597482369","1","0.808","1.200000000000001","0.808","0.3764705882352941","0.5603255340793489","0.7083333333333334","0.5742574257425742","998","1498","0","9.237055564881302E-14","0","true","true","true"
"35","310035","B-good","true","500","310035","B-good","500","125","5000","0.832766961303352","1","78","0.3646350663329553","0.1","34.8","75","0.9999999999862064","0.943","1.425000000000001","0.5496","471.5","1412.5","0","0","false","0.832766961303352","1","0.624","2.3500000000000005","0.624","0.48771929824561405","0.5533404029692471","0.44680851063829785","0.5512820512820513","998","1498","0","8.526512829121202E-14","5.329070518200751E-15","true","true","true"
"34","310034","B-good","true","500","310034","B-good","500","125","5000","0.9783898101507787","1","111","0.8716493137866449","0.9","54.6","75","0.9999999973743197","0.9734","0.6650000000000003","0.5486","486.7","1458.1","0","0","false","0.9783898101507787","1","0.888","0.7000000000000006","0.888","0.5864661654135338","0.547565235257859","0.5","0.5855855855855856","998","1498","0","7.815970093361102E-14","3.552713678800501E-15","true","true","true"
"36","310036","B-good","true","500","310036","B-good","500","125","5000","0.353883495145631","0","37","0.7593574969882224","0.75","46.8","75","0.9999999999844009","0.9456","1.36","0.5458","472.8","1416.4","0","0","false","0.353883495145631","0","0.296","4.399999999999993","0.296","0.48161764705882354","0.549492385786802","0.5227272727272727","0.4594594594594595","998","1498","0","7.105427357601002E-14","1.0658141036401503E-14","true","true","true"
"37","310037","B-good","true","500","310037","B-good","500","125","5000","0.5","0.5","56","0.39902583119252616","0.35","30.6","75","0.9999999999991582","0.922","1.9500000000000004","0.5568","461","1381","0","0","false","0.5","0.5","0.448","3.4499999999999966","0.448","0.5076923076923077","0.5609544468546638","0.5652173913043478","0.5","998","1498","0","9.237055564881302E-14","6.661338147750939E-15","true","true","true"
"38","310038","B-good","true","500","310038","B-good","500","125","5000","0.8029278364278081","1","53","0.7352270607451844","0.8","48.3","75","0.999999999978446","0.9614","0.9650000000000007","0.5442","480.7","1440.1","0","0","false","0.8029278364278081","1","0.424","3.599999999999996","0.424","0.5077720207253886","0.5456625754108592","0.4444444444444444","0.5660377358490566","998","1498","0","7.105427357601002E-14","7.105427357601002E-15","true","true","true"
"39","310039","B-good","true","500","310039","B-good","500","125","5000","0.9174389747697416","1","84","0.7214169893620075","0.8","46.5","75","0.999999999999822","0.9626","0.9350000000000008","0.558","481.3","1441.9","0","0","false","0.9174389747697416","1","0.672","2.0500000000000016","0.672","0.5080213903743316","0.5599418242260544","0.5121951219512195","0.5714285714285714","998","1498","0","9.237055564881302E-14","0","true","true","true"
"40","310040","B-good","true","500","310040","B-good","500","125","5000","0.06857938137677946","0","37","0.782742552146112","0.9","45.9","75","0.9999999993438813","0.9682","0.7950000000000006","0.5502","484.1","1450.3","0","0","false","0.06857938137677946","0","0.296","4.399999999999993","0.296","0.5345911949685535","0.5507126626730015","0.45454545454545453","0.32432432432432434","998","1498","0","8.526512829121202E-14","1.0658141036401503E-14","true","true","true"
