"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\user\AppData\Local\Temp\codex_exp2_opaque\model_frozen_v2.nlogox"
"experiment-2-opaque-main-final"
"08/01/2026 17:05:05:071 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","run-seed","world-mode","peer-sharing?","credence-policy","[step]","actual-seed","hidden-world","ticks","report-table-version","expert-total-pulls","total-lay-pulls","expert-truth-mass-at-25","expert-recommendation-score-at-25","expert-informative-observations-at-25","mean-lay-truth-mass-at-25","mean-lay-llr-at-25","mean-lay-recommendation-score-at-25","mean-lay-informative-observations-at-25","mean-lay-archive-size-at-25","mean-lay-cumulative-regret-at-25","private-expert-q-at-intervention","private-expert-llr-at-intervention","broadcast-message-bin","broadcast-message-midpoint","broadcast-message-llr","broadcast-message-mode","expert-report-direction-accuracy","credence-message-count","expert-raw-items-transmitted","inbox-empty-at-intervention?","maximum-message-bin-copy-error","maximum-message-llr-copy-error","maximum-immediate-policy-formula-error","mean-received-message-bin-post-intervention","received-bin-dispersion-post-intervention","mean-received-message-llr-post-intervention","received-message-llr-dispersion-post-intervention","mean-lay-truth-mass-post-intervention","lay-q-dispersion-post-intervention","mean-lay-local-archive-size-post-intervention","mean-lay-active-decision-inputs-post-intervention","mean-lay-post-intervention-regret","early-window-wrong-choice-rate","post-intervention-correct-choice-rate","final-window-correct-choice-rate","final-window-wrong-choice-rate","mean-lay-final-brier-score","mean-lay-posterior-truth-mass","mean-lay-q","mean-lay-cumulative-regret","mean-lay-realized-payoff","post-intervention-realized-payoff","mean-lay-b-pulls","maximum-local-ledger-identity-error","maximum-regret-identity-error","maximum-decision-decomposition-error","network-structure-valid?","message-accounting-valid?","evidence-provenance-valid?","credence-payload-valid?","credence-intervention-valid?"
"22","510022","B-good","true","No Deference","500","510022","B-good","500","sha256:2708886b9a088082","125","5000","0.9530265597482369","1","95","0.4652703674058901","-0.1806036259159362","0.5","35.1","75","0.6650000000000005","0.9530265597482369","3.0100604319322684","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.4652703674058901","0.33173909180615596","75","75","3.099999999999995","0.488","0.8694736842105263","1","0","7.815102941999854E-16","0.9999999892076008","0.9999999892076008","3.7649999999999957","0.5474","0.5513684210526316","424.7","9.237055564881302E-14","2.3092638912203256E-14","1.4210854715202004E-14","true","true","true","true","true"
"21","510021","B-good","true","No Deference","500","510021","B-good","500","sha256:2708886b9a088082","125","5000","0.4009900990099009","0","68","0.7547954663521439","1.444829007327489","0.85","49.8","75","0.4200000000000005","0.4009900990099009","-0.40134139092430243","4","0.45","-0.332834215328142","Coarse","0","1","0","true","0","0","0","4","0","-0.332834215328142","0","0.7547954663521439","0.20819948267811123","75","75","0.18000000000000005","0.14","0.992421052631579","1","0","1.2148638213362832E-22","0.9999999999963503","0.9999999999963503","0.6000000000000005","0.561","0.5614736842105263","488","1.0658141036401503E-13","3.552713678800501E-15","0","true","true","true","true","true"
"23","510023","B-good","true","No Deference","500","510023","B-good","500","sha256:2708886b9a088082","125","5000","0.9970395529930917","1","105","0.7948962535535472","1.6254326332434252","0.95","48.9","75","0.4350000000000004","0.9970395529930917","5.819450168402388","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.7948962535535472","0.16194163976588888","75","75","0.13000000000000023","0.084","0.9945263157894737","1","0","8.167752413903231E-27","0.9999999999999669","0.9999999999999669","0.5650000000000006","0.5606","0.5618947368421052","488.7","9.237055564881302E-14","0","0","true","true","true","true","true"
"24","510024","B-good","true","No Deference","500","510024","B-good","500","sha256:2708886b9a088082","125","5000","0.8814994686598715","1","76","0.6174890320389255","0.7826157123023898","0.65","48.9","75","0.4350000000000004","0.8814994686598715","2.006706954621513","8","0.8500000000000001","1.70144743881961","Coarse","1","1","0","true","0","0","0","8","0","1.70144743881961","0","0.6174890320389255","0.2603428858876047","75","75","1.9300000000000006","0.336","0.9187368421052632","1","0","9.652237735311798E-11","0.9999956280331161","0.9999956280331161","2.365000000000001","0.54","0.5414736842105263","452.7","8.526512829121202E-14","1.4210854715202004E-14","7.105427357601002E-15","true","true","true","true","true"
"26","510026","B-good","true","No Deference","500","510026","B-good","500","sha256:2708886b9a088082","125","5000","0.3094519384963682","0","36","0.7712444902558715","1.6254326332434252","0.8","50.7","75","0.4050000000000004","0.3094519384963682","-0.802682781848605","3","0.35000000000000003","-0.752409436346952","Coarse","0","1","0","true","0","0","0","3","0","-0.7524094363469519","1.1702778228589004E-16","0.7712444902558715","0.20120435802875053","75","75","0.4250000000000002","0.156","0.9821052631578947","1","0","1.864963426609695E-18","0.9999999995304794","0.9999999995304794","0.8300000000000006","0.5562","0.5538947368421052","483.4","9.947598300641403E-14","1.0658141036401503E-14","0","true","true","true","true","true"
"25","510025","B-good","true","No Deference","500","510025","B-good","500","sha256:2708886b9a088082","125","5000","0.353883495145631","0","53","0.6981218732857076","1.0836217554956167","0.7","50.4","75","0.4100000000000004","0.353883495145631","-0.6020120863864536","3","0.35000000000000003","-0.752409436346952","Coarse","0","1","0","true","0","0","0","3","0","-0.7524094363469519","1.1702778228589004E-16","0.6981218732857076","0.20771672576149688","75","75","0.5900000000000003","0.256","0.9751578947368421","1","0","8.272996319421028E-27","0.9999999999999659","0.9999999999999659","1.0000000000000007","0.5616","0.5637894736842105","480","1.0658141036401503E-13","7.105427357601002E-15","7.105427357601002E-15","true","true","true","true","true"
"27","510027","B-good","true","No Deference","500","510027","B-good","500","sha256:2708886b9a088082","125","5000","0.9174389747697416","1","98","0.4786278939578925","-0.12040241727729076","0.55","43.2","75","0.5300000000000005","0.9174389747697416","2.408048345545815","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.4786278939578925","0.2376473100803574","75","75","1.1349999999999991","0.36","0.9522105263157895","1","0","3.2561937900565087E-9","0.9999797109554709","0.9999797109554709","1.6649999999999996","0.539","0.5414736842105263","466.7","7.105427357601002E-14","9.769962616701378E-15","1.4210854715202004E-14","true","true","true","true","true"
"28","510028","B-good","true","No Deference","500","510028","B-good","500","sha256:2708886b9a088082","125","5000","0.9530265597482369","1","97","0.5237752590127729","0.1806036259159362","0.4","42.3","75","0.5450000000000006","0.9530265597482369","3.0100604319322684","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.5237752590127729","0.23209140281589677","75","75","0.9499999999999995","0.396","0.96","1","0","1.1115577098857601E-23","0.9999999999988093","0.9999999999988093","1.495","0.5578","0.5610526315789474","470.1","9.947598300641403E-14","8.881784197001252E-15","7.105427357601002E-15","true","true","true","true","true"
"30","510030","B-good","true","No Deference","500","510030","B-good","500","sha256:2708886b9a088082","125","5000","0.8029278364278081","1","75","0.5300851037671189","0.30100604319322677","0.5","38.7","75","0.6050000000000005","0.8029278364278081","1.4046948682350588","8","0.8500000000000001","1.70144743881961","Coarse","1","1","0","true","0","0","0","8","0","1.70144743881961","0","0.5300851037671189","0.3314476208937719","75","75","3.0900000000000007","0.564","0.8698947368421053","1","0","3.038747618536821E-13","0.9999997571336596","0.9999997571336596","3.695000000000001","0.5346","0.536","426.1","6.394884621840902E-14","2.4868995751603507E-14","1.0658141036401503E-14","true","true","true","true","true"
"29","510029","B-good","true","No Deference","500","510029","B-good","500","sha256:2708886b9a088082","125","5000","0.9934177025814358","1","115","0.7957098954325814","1.5652314246047796","1","59.4","75","0.26000000000000023","0.9934177025814358","5.016767386553782","9","0.9500000000000001","3.26318154292175","Coarse","1","1","0","true","0","0","0","9","0","3.2631815429217506","4.681111291435602E-16","0.7957098954325814","0.11807380685562424","75","75","0.6600000000000004","0.136","0.9722105263157895","1","0","2.774193695401436E-23","0.999999999997708","0.999999999997708","0.9200000000000006","0.5542","0.5557894736842105","481.6","1.2079226507921703E-13","8.881784197001252E-16","7.105427357601002E-15","true","true","true","true","true"
