"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","E-Total Evidence",155,0.8885,0.873268554676815,0.903731445323185,0.1115,0.891373253593377,1.1042,200
"B-bad","E-Total Evidence",160,0.892,0.875775436204577,0.908224563795423,0.108,0.893378473392071,1.131875,200
"B-bad","E-Total Evidence",165,0.89,0.873916449303245,0.906083550696755,0.11,0.894863758699529,1.158525,200
"B-bad","E-Total Evidence",170,0.9035,0.888004683735701,0.918995316264299,0.0965,0.896018985780817,1.183575,200
"B-bad","E-Total Evidence",175,0.887,0.871261628748557,0.902738371251443,0.113,0.897712656243837,1.2094,200
"B-bad","E-Total Evidence",180,0.9,0.884779807118279,0.915220192881721,0.1,0.900289601158984,1.2354,200
"B-bad","E-Total Evidence",185,0.8825,0.864575166716502,0.900424833283498,0.1175,0.900931707639892,1.26095,200
"B-bad","E-Total Evidence",190,0.9075,0.893199395592068,0.921800604407932,0.0925,0.902991105466266,1.28405,200
"B-bad","E-Total Evidence",195,0.908,0.892505773874889,0.923494226125111,0.092,0.904718311279012,1.307775,200
"B-bad","E-Total Evidence",200,0.8995,0.883750133668909,0.915249866331091,0.1005,0.906729286258536,1.3318,200
"B-bad","E-Total Evidence",205,0.9125,0.89889107778628,0.92610892221372,0.0875,0.9099618016107,1.35525,200
"B-bad","E-Total Evidence",210,0.907,0.891372411715882,0.922627588284118,0.093,0.910400442981777,1.3779,200
"B-bad","E-Total Evidence",215,0.9145,0.899835500152447,0.929164499847553,0.0855,0.910198582381346,1.400725,200
"B-bad","E-Total Evidence",220,0.9175,0.902507434002951,0.932492565997049,0.0825,0.910541908772144,1.422575,200
"B-bad","E-Total Evidence",225,0.911,0.896309688284742,0.925690311715258,0.089,0.911882607466872,1.446,200
