"world","policy","ticks","correct_choice_rate","correct_ci_low","correct_ci_high","b_share","truth_mass","post_regret","n_runs"
"B-bad","No Deference",320,0.9225,0.9086450605655,0.9363549394345,0.0775,0.92843711883618,2.3771,200
"B-bad","No Deference",325,0.9315,0.920078304080022,0.942921695919978,0.0685,0.930038537717349,2.39525,200
"B-bad","No Deference",330,0.9295,0.91789221202345,0.94110778797655,0.0705,0.930405828278198,2.413025,200
"B-bad","No Deference",335,0.938,0.926495574458706,0.949504425541294,0.062,0.931878966458662,2.429575,200
"B-bad","No Deference",340,0.9265,0.912923742939275,0.940076257060725,0.0735,0.932582201902409,2.44705,200
"B-bad","No Deference",345,0.932,0.919986648633488,0.944013351366512,0.068,0.934155818860181,2.464775,200
"B-bad","No Deference",350,0.932,0.921080992185263,0.942919007814737,0.068,0.935236899315878,2.481625,200
"B-bad","No Deference",355,0.9245,0.912347849085067,0.936652150914933,0.0755,0.935707461059038,2.49805,200
"B-bad","No Deference",360,0.9315,0.919501320759451,0.943498679240549,0.0685,0.936323032799415,2.513525,200
"B-bad","No Deference",365,0.9425,0.931970026032378,0.953029973967622,0.0575,0.937269946592424,2.529425,200
"B-bad","No Deference",370,0.938,0.926411977765965,0.949588022234035,0.062,0.938156967369861,2.54435,200
"B-bad","No Deference",375,0.935,0.923313276871277,0.946686723128723,0.065,0.939399580042065,2.56035,200
"B-bad","No Deference",380,0.9455,0.93589423131864,0.95510576868136,0.0545,0.940611329609144,2.57445,200
"B-bad","No Deference",385,0.942,0.930681660366454,0.953318339633546,0.058,0.9416095283903,2.589525,200
"B-bad","No Deference",390,0.931,0.920474381002697,0.941525618997303,0.069,0.942029811247144,2.6054,200
"B-bad","No Deference",395,0.9485,0.937829796241814,0.959170203758186,0.0515,0.942279411926827,2.619725,200
"B-bad","No Deference",400,0.941,0.929868255722787,0.952131744277213,0.059,0.943361907833821,2.634275,200
"B-bad","No Deference",405,0.9475,0.936653943819371,0.958346056180629,0.0525,0.944827347710744,2.647975,200
"B-bad","No Deference",410,0.9405,0.929818946563538,0.951181053436462,0.0595,0.94610170271911,2.66155,200
"B-bad","No Deference",415,0.9525,0.941653943819371,0.963346056180629,0.0475,0.946665957948792,2.674725,200
"B-bad","No Deference",420,0.937,0.925685925161674,0.948314074838326,0.063,0.947052235552125,2.68885,200
"B-bad","No Deference",425,0.945,0.934170642915003,0.955829357084997,0.055,0.947939219615801,2.70215,200
"B-bad","No Deference",430,0.961,0.951496008138338,0.970503991861662,0.039,0.94888550184466,2.7147,200
"B-bad","No Deference",435,0.9455,0.934229732360617,0.956770267639383,0.0545,0.949147621602441,2.7271,200
"B-bad","No Deference",440,0.942,0.930767263921956,0.953232736078044,0.058,0.950160263473905,2.740325,200
"B-bad","No Deference",445,0.9575,0.948448836105826,0.966551163894174,0.0425,0.950113706858465,2.752175,200
"B-bad","No Deference",450,0.9505,0.940196114895768,0.960803885104232,0.0495,0.949896885914704,2.764975,200
"B-bad","No Deference",455,0.953,0.942989516650809,0.963010483349191,0.047,0.950443276500848,2.77745,200
"B-bad","No Deference",460,0.9525,0.942880173843755,0.962119826156245,0.0475,0.9501901608612,2.78925,200
"B-bad","No Deference",465,0.953,0.943585805222082,0.962414194777918,0.047,0.950840578123587,2.80135,200
"B-bad","No Deference",470,0.9455,0.934937078312661,0.956062921687339,0.0545,0.951303768121722,2.813525,200
"B-bad","No Deference",475,0.9475,0.937108432583732,0.957891567416268,0.0525,0.951223336688053,2.8261,200
"B-bad","No Deference",480,0.947,0.935805999094095,0.958194000905905,0.053,0.951028760265114,2.838475,200
"B-bad","No Deference",485,0.953,0.942798496120324,0.963201503879676,0.047,0.951225923435532,2.850075,200
"B-bad","No Deference",490,0.955,0.945602224148514,0.964397775851486,0.045,0.952011833690883,2.861775,200
"B-bad","No Deference",495,0.956,0.946410070608777,0.965589929391223,0.044,0.951940814580496,2.8741,200
"B-bad","No Deference",500,0.952,0.942278120412514,0.961721879587485,0.048,0.95270023893925,2.88585,200
"B-bad","E-Preemption",0,0,0,0,0,0.5,0,200
"B-bad","E-Preemption",5,0.5055,0.482077154175193,0.528922845824807,0.4945,0.535705091944473,0,200
"B-bad","E-Preemption",10,0.5715,0.549602947537793,0.593397052462207,0.4285,0.563277775527802,0,200
"B-bad","E-Preemption",15,0.572,0.547373370461794,0.596626629538206,0.428,0.593586744307876,0,200
"B-bad","E-Preemption",20,0.6165,0.595256264369994,0.637743735630006,0.3835,0.610837011603697,0,200
"B-bad","E-Preemption",25,0.608,0.584324567193123,0.631675432806877,0.392,0.62584040228883,0,200
"B-bad","E-Preemption",26,0.6775,0.641203815419863,0.713796184580137,0.3225,0.679099215754648,0.016125,200
